dealerlocator_id,dealer_name,dealer_address1,dealer_address2,dealer_city,dealer_state,dealer_country,dealer_zip,dealer_phone,dealer_email,dealer_latitude,dealer_longitude,status,created_time,update_time,dealer_fax,dealer_store_status,dealer_group_id,dealer_county,store_google_calendar,dealer_store_number,cms_blocks,closes_cities,closes_zip
2756,"A.C. Moore","Deptford Plaza","1120 Hurffville Road","Deptford ",NJ,,08096,"(856) 845-4957",,39.8227054,-75.1195107,1,"2016-03-17 06:05:45","2016-03-17 06:05:45",NULL,Open,0,NULL,acmstore002@gmail.com,2,"a:2:{i:0;a:2:{s:8:""block_id"";s:1:""8"";s:9:""block_url"";s:0:"""";}i:1;a:2:{s:8:""block_id"";s:1:""6"";s:9:""block_url"";s:0:"""";}}",NULL,NULL
2757,"A.C. Moore","Eng Creek Shopping Center","3003 English Creek Avenue, Unit B-2","Egg Harbor Twp ",NJ,,08234,"(609) 646-0062",,39.3480422,-74.6634640,1,"2013-03-27 01:50:49","2013-03-27 01:50:49",NULL,Open,0,NULL,spc003@acmoore.com,3,NULL,NULL,NULL
2758,"A.C. Moore","Berkshire Mall West","1101 Woodland Road",Wyomissing,PA,,19610,"(610) 374-4311",,40.3295370,-75.9652117,1,"2013-03-27 01:46:35","2013-03-27 01:46:35",NULL,Open,0,NULL,spc005@acmoore.com,5,NULL,NULL,NULL
2759,"A.C. Moore","Allentown Plaza","2633 MacArthur Road",Whitehall,PA,,18052,"(610) 264-4003",,40.6456544,-75.4934315,1,"2013-04-30 01:22:53","2013-04-30 01:22:53",NULL,Open,0,NULL,spc006@acmoore.com,6,NULL,NULL,NULL
2760,"A.C. Moore","Bensalem Center","1907 Street Road","Bensalem ",PA,,19020,"(215) 638-2747",,40.0965160,-74.9452918,1,"2013-04-30 01:23:06","2013-04-30 01:23:06",NULL,Open,0,NULL,spc007@acmoore.com,7,NULL,NULL,NULL
2761,"A.C. Moore","Kirkwood Plaza Shopping Center","4433 Kirkwood Highway","Wilmington ",DE,,19808,"(302) 994-9016",,39.7269070,-75.6529755,1,"2013-04-30 01:23:20","2013-04-30 01:23:20",NULL,Open,0,NULL,spc008@acmoore.com,8,NULL,NULL,NULL
2762,"A.C. Moore","Broomall Plaza","2940 Springfield Road",Broomall,PA,,19008,"(610) 353-1117",,39.9699500,-75.3530229,1,"2013-03-27 01:44:09","2013-03-27 01:44:09",NULL,Open,0,NULL,spc009@acmoore.com,9,NULL,NULL,NULL
2763,"A.C. Moore","Mid State Mall","314 State Highway 18 North","East Brunswick",NJ,,08816,"(732) 390-0231",,40.4564185,-74.3984756,1,"2013-04-30 01:24:01","2013-04-30 01:24:01",NULL,Open,0,NULL,spc010@acmoore.com,10,NULL,NULL,NULL
2764,"A.C. Moore","Town Square Mall   ","2433 Vestal Pkwy East Suite C   ",Vestal,NY,,13850,"(607) 797-1144",,42.0636938,-76.0159800,1,"2013-03-27 01:42:42","2013-03-27 01:42:42",NULL,Open,0,NULL,spc011@acmoore.com,11,NULL,NULL,NULL
2765,"A.C. Moore","Bay Harbor Plaza","55 Brick Blvd",Brick,NJ,,08723,"(732) 255-9509",,40.0246340,-74.1425390,1,"2013-03-27 01:42:17","2013-03-27 01:42:17",NULL,Open,0,NULL,spc012@acmoore.com,12,NULL,NULL,NULL
